Name,Type,Ownership,Sub-ownership,Eco-region,District
Babala HP,Health Post,Public,Ministry of Health & Population,Hill,Udayapur
Babiyachaur HP,Health Post,Public,Ministry of Health & Population,Hill,Surkhet
Babiyachaur HP,Health Post,Public,Ministry of Health & Population,Hill,Myagdi
Babiyachaur HP,Health Post,Public,Ministry of Health & Population,Hill,Myagdi
Babla HP,Health Post,Public,Ministry of Health & Population,Hill,Achham
Bachchha HP,Health Post,Public,Ministry of Health & Population,Hill,Parbat
Badabhairab HP,Health Post,Public,Ministry of Health & Population,Hill,Dailekh
Badagaun HP,Health Post,Public,Ministry of Health & Population,Hill,Salyan
Badagaun HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Badahare HP,Health Post,Public,Ministry of Health & Population,Hill,Khotang
Badakadiyale HP,Health Post,Public,Ministry of Health & Population,Hill,Khotang
Badakhola HP,Health Post,Public,Ministry of Health & Population,Hill,Dailekh
Badalamji HP,Health Post,Public,Ministry of Health & Population,Hill,Dailekh
Baddanda HP,Health Post,Public,Ministry of Health & Population,Hill,Gorkha
Badikhel HP,Health Post,Public,Ministry of Health & Population,Hill,Lalitpur
Baflikot HP,Health Post,Public,Ministry of Health & Population,Hill,Rukum
Bafukhola HP,Health Post,Public,Ministry of Health & Population,Hill,Salyan
Bagalek HP,Health Post,Public,Ministry of Health & Population,Hill,Doti
Bagarkot HP,Health Post,Public,Ministry of Health & Population,Hill,Dadeldhura
Bagefatake HP,Health Post,Public,Ministry of Health & Population,Hill,Syangja
Bageswori Chokade HP,Health Post,Public,Ministry of Health & Population,Hill,Nuwakot
Bageswori HP,Health Post,Public,Ministry of Health & Population,Hill,Bhaktapur
Baglungpani HP,Health Post,Public,Ministry of Health & Population,Hill,Lamjung
Baguwa HP,Health Post,Public,Ministry of Health & Population,Hill,Gorkha
Bahadurpur HP,Health Post,Public,Ministry of Health & Population,Hill,Palpa
Bahakithanti HP,Health Post,Public,Ministry of Health & Population,Hill,Parbat
Bahakot HP,Health Post,Public,Ministry of Health & Population,Hill,Syangja
Bahirigaun HP,Health Post,Public,Ministry of Health & Population,Hill,Kathmandu
Bahundanda HP,Health Post,Public,Ministry of Health & Population,Hill,Lamjung
Bahunidanda HP,Health Post,Public,Ministry of Health & Population,Hill,Khotang
Bahunthana HP,Health Post,Public,Ministry of Health & Population,Hill,Jajarkot
Bahuntilpung HP,Health Post,Public,Ministry of Health & Population,Hill,Sindhuli
Baidi HP,Health Post,Public,Ministry of Health & Population,Hill,Tanahu
Baijanath HP,Health Post,Public,Ministry of Health & Population,Hill,Achham
Baikunthe HP,Health Post,Public,Ministry of Health & Population,Hill,Bhojpur
Baireni HP,Health Post,Public,Ministry of Health & Population,Hill,Dhading
Bajedichaur HP,Health Post,Public,Ministry of Health & Population,Hill,Surkhet
Bajhakhet HP,Health Post,Public,Ministry of Health & Population,Hill,Lamjung
Bajhkanda HP,Health Post,Public,Ministry of Health & Population,Hill,Salyan
Bajhkot HP,Health Post,Public,Ministry of Health & Population,Hill,Salyan
Bajho HP,Health Post,Public,Ministry of Health & Population,Hill,Ilam
Bajkateri HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Bajrabarahi HP,Health Post,Public,Ministry of Health & Population,Hill,Makwanpur
Bajrayogini (Sankhu) HP,Health Post,Public,Ministry of Health & Population,Hill,Kathmandu
Bajung HP,Health Post,Public,Ministry of Health & Population,Hill,Parbat
Bakachol HP,Health Post,Public,Ministry of Health & Population,Hill,Khotang
Bakrang HP,Health Post,Public,Ministry of Health & Population,Hill,Gorkha
Baksila HP,Health Post,Public,Ministry of Health & Population,Hill,Khotang
Balajor HP,Health Post,Public,Ministry of Health & Population,Hill,Sindhuli
Balakot HP,Health Post,Public,Ministry of Health & Population,Hill,Parbat
Balambu HP,Health Post,Public,Ministry of Health & Population,Hill,Kathmandu
Balamta HP,Health Post,Public,Ministry of Health & Population,Hill,Udayapur
Balata HP,Health Post,Public,Ministry of Health & Population,Hill,Achham
Baldengadhi HP,Health Post,Public,Ministry of Health & Population,Hill,Palpa
Baldthali HP,Health Post,Public,Ministry of Health & Population,Hill,Kavre
Baletaksar HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Balithum HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Balithum HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Balkhu HP,Health Post,Public,Ministry of Health & Population,Hill,Okhaldhunga
Balkot HP,Health Post,Public,Ministry of Health & Population,Hill,Bhaktapur
Balkumari HP Balkumari,Health Post,Public,Ministry of Health & Population,Hill,Nuwakot
Balkumari HP Madhyapur Thimi Municipality,Health Post,Public,Ministry of Health & Population,Hill,Bhaktapur
Balting HP,Health Post,Public,Ministry of Health & Population,Hill,Kavre
Baluwa HP,Health Post,Public,Ministry of Health & Population,Hill,Kathmandu
Baluwapati Deupur HP,Health Post,Public,Ministry of Health & Population,Hill,Kavre
Baluwatar HP,Health Post,Public,Ministry of Health & Population,Hill,Dailekh
Bame HP,Health Post,Public,Ministry of Health & Population,Hill,Salyan
Bamgha HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Bamrang HP,Health Post,Public,Ministry of Health & Population,Hill,Khotang
Bamti Bhandar HP,Health Post,Public,Ministry of Health & Population,Hill,Ramechhap
Banakhuchaur HP,Health Post,Public,Ministry of Health & Population,Hill,Kavre
Bandikot HP,Health Post,Public,Ministry of Health & Population,Hill,Pyuthan
Bandipokhara HP,Health Post,Public,Ministry of Health & Population,Hill,Palpa
Banethok HP,Health Post,Public,Ministry of Health & Population,Hill,Syangja
Bangemaroth HP,Health Post,Public,Ministry of Health & Population,Hill,Pyuthan
Bangeshal HP,Health Post,Public,Ministry of Health & Population,Hill,Pyuthan
Bangi HP,Health Post,Public,Ministry of Health & Population,Hill,Arghakhanchi
Bangre HP,Health Post,Public,Ministry of Health & Population,Hill,Lamjung
Banjakakani HP,Health Post,Public,Ministry of Health & Population,Hill,Doti
Banlek HP,Health Post,Public,Ministry of Health & Population,Hill,Doti
Bannatoli HP,Health Post,Public,Ministry of Health & Population,Hill,Achham
Banou HP,Health Post,Public,Ministry of Health & Population,Hill,Parbat
Bansar HP,Health Post,Public,Ministry of Health & Population,Hill,Lamjung
Bansbote HP,Health Post,Public,Ministry of Health & Population,Hill,Udayapur
Bansi HP,Health Post,Public,Ministry of Health & Population,Hill,Dailekh
Baraha HP,Health Post,Public,Ministry of Health & Population,Hill,Udayapur
Baraha Pokhari HP,Health Post,Public,Ministry of Health & Population,Hill,Khotang
Barakot HP,Health Post,Public,Ministry of Health & Population,Hill,Baitadi
Barangdi HP,Health Post,Public,Ministry of Health & Population,Hill,Palpa
Baranja HP,Health Post,Public,Ministry of Health & Population,Hill,Myagdi
Baraula HP,Health Post,Public,Ministry of Health & Population,Hill,Pyuthan
Barbote HP,Health Post,Public,Ministry of Health & Population,Hill,Ilam
Barchhen HP,Health Post,Public,Ministry of Health & Population,Hill,Doti
Barjiwang HP,Health Post,Public,Ministry of Health & Population,Hill,Pyuthan
Barnalu HP,Health Post,Public,Ministry of Health & Population,Hill,Okhaldhunga
Barpata HP,Health Post,Public,Ministry of Health & Population,Hill,Doti
Barre HP,Health Post,Public,Ministry of Health & Population,Hill,Udayapur
Barsunchet HP,Health Post,Public,Ministry of Health & Population,Hill,Nuwakot
Basaha HP,Health Post,Public,Ministry of Health & Population,Hill,Udayapur
Basamadi HP,Health Post,Public,Ministry of Health & Population,Hill,Makwanpur
Basantamala HP,Health Post,Public,Ministry of Health & Population,Hill,Dailekh
Basantapur HP BAITADI,Health Post,Public,Ministry of Health & Population,Hill,Baitadi
Basantapur HP TANAHU,Health Post,Public,Ministry of Health & Population,Hill,Tanahu
Baseri HP,Health Post,Public,Ministry of Health & Population,Hill,Dhading
Baseshwor HP,Health Post,Public,Ministry of Health & Population,Hill,Sindhuli
Basikhora HP,Health Post,Public,Ministry of Health & Population,Hill,Bhojpur
Basingtharpur HP,Health Post,Public,Ministry of Health & Population,Hill,Bhojpur
Baskharka HP,Health Post,Public,Ministry of Health & Population,Hill,Parbat
Baspani HP,Health Post,Public,Ministry of Health & Population,Hill,Surkhet
Baspani HP,Health Post,Public,Ministry of Health & Population,Hill,Khotang
Basteem HP,Health Post,Public,Ministry of Health & Population,Hill,Bhojpur
Basti HP,Health Post,Public,Ministry of Health & Population,Hill,Achham
Bastipur HP Bastipur,Health Post,Public,Ministry of Health & Population,Hill,Sindhuli
Bastu HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Basudevi HP,Health Post,Public,Ministry of Health & Population,Hill,Doti
Basuling HP,Health Post,Public,Ministry of Health & Population,Hill,Baitadi
Batakachaur HP,Health Post,Public,Ministry of Health & Population,Hill,Baglung
Batase HP KHOTANG,Health Post,Public,Ministry of Health & Population,Hill,Khotang
Batulasen HP,Health Post,Public,Ministry of Health & Population,Hill,Achham
Batulechaur HP,Health Post,Public,Ministry of Health & Population,Hill,Kaski
Baugha Pokharathok HP,Health Post,Public,Ministry of Health & Population,Hill,Palpa
Baughagumba HP,Health Post,Public,Ministry of Health & Population,Hill,Palpa
Bayala HP,Health Post,Public,Ministry of Health & Population,Hill,Achham
Begakhola HP,Health Post,Public,Ministry of Health & Population,Hill,Myagdi
Begnas HP,Health Post,Public,Ministry of Health & Population,Hill,Kaski
Behulibans HP,Health Post,Public,Ministry of Health & Population,Hill,Parbat
Bekhsimle HP,Health Post,Public,Ministry of Health & Population,Hill,Kavre
Belapur HP,Health Post,Public,Ministry of Health & Population,Hill,Dadeldhura
Belaspur HP,Health Post,Public,Ministry of Health & Population,Hill,Dailekh
Belhara HP,Health Post,Public,Ministry of Health & Population,Hill,Dhankuta
Belkot HP,Health Post,Public,Ministry of Health & Population,Hill,Nuwakot
Belpata HP,Health Post,Public,Ministry of Health & Population,Hill,Dailekh
Benighat HP,Health Post,Public,Ministry of Health & Population,Hill,Dhading
Betali HP,Health Post,Public,Ministry of Health & Population,Hill,Ramechhap
Betan HP,Health Post,Public,Ministry of Health & Population,Hill,Surkhet
Beteni HP,Health Post,Public,Ministry of Health & Population,Hill,Nuwakot
Bethan HP,Health Post,Public,Ministry of Health & Population,Hill,Ramechhap
Betini HP Betini,Health Post,Public,Ministry of Health & Population,Hill,Makwanpur
Betini HP Betini,Health Post,Public,Ministry of Health & Population,Hill,Okhaldhunga
Bhachhek HP,Health Post,Public,Ministry of Health & Population,Hill,Gorkha
Bhachok HP,Health Post,Public,Ministry of Health & Population,Hill,Kaski
Bhadaure HP Bhadaure,Health Post,Public,Ministry of Health & Population,Hill,Ramechhap
Bhadaure HP Bhadauretamagi,Health Post,Public,Ministry of Health & Population,Hill,Kaski
Bhadrabas HP,Health Post,Public,Ministry of Health & Population,Hill,Kathmandu
Bhadrakali HP,Health Post,Public,Ministry of Health & Population,Hill,Sindhuli
Bhadrapur HP,Health Post,Public,Ministry of Health & Population,Hill,Dadeldhura
Bhadratar HP,Health Post,Public,Ministry of Health & Population,Hill,Nuwakot
Bhadure HP,Health Post,Public,Ministry of Health & Population,Hill,Okhaldhunga
Bhagawati HP,Health Post,Public,Ministry of Health & Population,Hill,Arghakhanchi
Bhagawatitol HP,Health Post,Public,Ministry of Health & Population,Hill,Jajarkot
Bhageshor HP,Health Post,Public,Ministry of Health & Population,Hill,Achham
Bhageswor HP,Health Post,Public,Ministry of Health & Population,Hill,Dadeldhura
Bhairabhsthan HP,Health Post,Public,Ministry of Health & Population,Hill,Achham
Bhairabsthan HP,Health Post,Public,Ministry of Health & Population,Hill,Palpa
Bhairikalikathum HP,Health Post,Public,Ministry of Health & Population,Hill,Dailekh
Bhaise HP,Health Post,Public,Ministry of Health & Population,Hill,Makwanpur
Bhaisipankha HP,Health Post,Public,Ministry of Health & Population,Hill,Bhojpur
Bhakilmi HP,Health Post,Public,Ministry of Health & Population,Hill,Myagdi
Bhakunde HP,Health Post,Public,Ministry of Health & Population,Hill,Baglung
Bhalakacha HP,Health Post,Public,Ministry of Health & Population,Hill,Rukum
Bhalam HP,Health Post,Public,Ministry of Health & Population,Hill,Kaski
Bhalayakharka HP,Health Post,Public,Ministry of Health & Population,Hill,Lamjung
Bhalchaur HP,Health Post,Public,Ministry of Health & Population,Hill,Salyan
Bhalche HP,Health Post,Public,Ministry of Health & Population,Hill,Nuwakot
Bhaluwajor HP,Health Post,Public,Ministry of Health & Population,Hill,Ramechhap
Bhanbhane HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Bhangara HP,Health Post,Public,Ministry of Health & Population,Hill,Parbat
Bhanu HP,Health Post,Public,Ministry of Health & Population,Hill,Tanahu
Bhanumati HP,Health Post,Public,Ministry of Health & Population,Hill,Tanahu
Bharapa HP,Health Post,Public,Ministry of Health & Population,Hill,Panchthar
Bharatpokhari HP,Health Post,Public,Ministry of Health & Population,Hill,Kaski
Bhardev HP,Health Post,Public,Ministry of Health & Population,Hill,Lalitpur
Bharse HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Bharta Pundyadevi HP,Health Post,Public,Ministry of Health & Population,Hill,Makwanpur
Bharte HP,Health Post,Public,Ministry of Health & Population,Hill,Lamjung
Bhatakatiya HP,Health Post,Public,Ministry of Health & Population,Hill,Achham
Bhatana HP,Health Post,Public,Ministry of Health & Population,Hill,Baitadi
Bhatauli HP,Health Post,Public,Ministry of Health & Population,Hill,Ramechhap
Bhatkhola HP,Health Post,Public,Ministry of Health & Population,Hill,Syangja
Bhattedanda HP,Health Post,Public,Ministry of Health & Population,Hill,Lalitpur
Bhaunali HP,Health Post,Public,Ministry of Health & Population,Hill,Baitadi
Bhawang HP,Health Post,Public,Ministry of Health & Population,Hill,Rolpa
