Name,Type,Ownership,Sub-ownership,Eco-region,District
Bhaktapur Hospital,Central Hospital,Public,Ministry of Health & Population,Hill,Bhaktapur
"Bir Hospital, Kathmandu",Central Hospital,Public,Ministry of Health & Population,Hill,Kathmandu
Kanti Children Hospital,Central Hospital,Public,Ministry of Health & Population,Hill,Kathmandu
Maternity Hospital,Central Hospital,Public,Ministry of Health & Population,Hill,Kathmandu
"Mental Hospital, Lalitpur",Central Hospital,Public,Ministry of Health & Population,Hill,Lalitpur
Sukraraj Tropical Hospital,Central Hospital,Public,Ministry of Health & Population,Hill,Kathmandu
Community Health Unit,Community Health Unit,Public,Ministry of Health & Population,Hill,Pyuthan
Chitre Community Healhth Unit,Community Health Unit,Public,Ministry of Health & Population,Mountain,Solukhumbu
"Community Health Unit, Kharang",Community Health Unit,Public,Ministry of Health & Population,Mountain,Sankhuwasabha
Gola Community Health Centre,Community Health Unit,Public,Ministry of Health & Population,Mountain,Sankhuwasabha
Kinja Community Healhth Unit,Community Health Unit,Public,Ministry of Health & Population,Mountain,Solukhumbu
Makalu Community Health Unit Makalu,Community Health Unit,Public,Ministry of Health & Population,Mountain,Sankhuwasabha
Makalu Community Health Unit Hatiya,Community Health Unit,Public,Ministry of Health & Population,Mountain,Sankhuwasabha
"Community Health Unit, Thakurdwara",Community Health Unit,Public,Ministry of Health & Population,Terai,Bardiya
District MCH Clinic Bhojpur,District Clinic,Public,Ministry of Health & Population,Hill,Bhojpur
Institutional Clinic (MDH),District Clinic,Public,Ministry of Health & Population,Hill,Myagdi
Institutional Clinic (PDH),District Clinic,Public,Ministry of Health & Population,Hill,Parbat
"Institutional Clinic, Palpa",District Clinic,Public,Ministry of Health & Population,Hill,Palpa
District MCH Clinic Bajhang,District Clinic,Public,Ministry of Health & Population,Mountain,Bajhang
Institutional Clinic (CDH),District Clinic,Public,Ministry of Health & Population,Mountain,Sindhupalchok
"District Public Health Office (DPHO), Morang",District Clinic,Public,Ministry of Health & Population,Terai,Morang
Institutional Clinic (Taulihawa),District Clinic,Public,Ministry of Health & Population,Terai,Kapilbastu
"Damauli District Hospital, Tanahu",District Hospital,Public,Ministry of Health & Population,Hill,Tanahu
"District Hospital, Achham",District Hospital,Public,Ministry of Health & Population,Hill,Achham
"District Hospital, Arghakhanchi",District Hospital,Public,Ministry of Health & Population,Hill,Arghakhanchi
"District Hospital, Baitadi",District Hospital,Public,Ministry of Health & Population,Hill,Baitadi
"District Hospital, Bhojpur",District Hospital,Public,Ministry of Health & Population,Hill,Bhojpur
"District Hospital, Dailekh",District Hospital,Public,Ministry of Health & Population,Hill,Dailekh
"District Hospital, Dhading",District Hospital,Public,Ministry of Health & Population,Hill,Dhading
"District Hospital, Dhankuta",District Hospital,Public,Ministry of Health & Population,Hill,Dhankuta
"District Hospital, Doti",District Hospital,Public,Ministry of Health & Population,Hill,Doti
"District Hospital, Gorkha",District Hospital,Public,Ministry of Health & Population,Hill,Gorkha
"District Hospital, Ilam",District Hospital,Public,Ministry of Health & Population,Hill,Ilam
"District Hospital, Jagarkot",District Hospital,Public,Ministry of Health & Population,Hill,Jajarkot
"District Hospital, Khotang",District Hospital,Public,Ministry of Health & Population,Hill,Khotang
"District Hospital, Palpa",District Hospital,Public,Ministry of Health & Population,Hill,Palpa
"District Hospital, Panchathar",District Hospital,Public,Ministry of Health & Population,Hill,Panchthar
"District Hospital, Pyuthan",District Hospital,Public,Ministry of Health & Population,Hill,Pyuthan
"District Hospital, Ramechhap",District Hospital,Public,Ministry of Health & Population,Hill,Ramechhap
"District Hospital, Rolpa",District Hospital,Public,Ministry of Health & Population,Hill,Rolpa
"District Hospital, Rukum",District Hospital,Public,Ministry of Health & Population,Hill,Rukum
"District Hospital, Salyan",District Hospital,Public,Ministry of Health & Population,Hill,Salyan
"District Hospital, Sindhuli",District Hospital,Public,Ministry of Health & Population,Hill,Sindhuli
"District Hospital, Syangja",District Hospital,Public,Ministry of Health & Population,Hill,Syangja
"District Hospital, Terhathum",District Hospital,Public,Ministry of Health & Population,Hill,Terhathum
"District Hospital, Udayapur",District Hospital,Public,Ministry of Health & Population,Hill,Udayapur
Makwanpur District Hospital,District Hospital,Public,Ministry of Health & Population,Hill,Makwanpur
Myagdi District Hospital,District Hospital,Public,Ministry of Health & Population,Hill,Myagdi
"Parbat District Hospital, Parbat",District Hospital,Public,Ministry of Health & Population,Hill,Parbat
"Rumjatar Hospital, Okhaldhunga",District Hospital,Public,Ministry of Health & Population,Hill,Okhaldhunga
"Tamghas Hospital, Gulmi",District Hospital,Public,Ministry of Health & Population,Hill,Gulmi
"Trisuli Hospital, Nuwakot",District Hospital,Public,Ministry of Health & Population,Hill,Nuwakot
"District Hospital , Rasuwa",District Hospital,Public,Ministry of Health & Population,Mountain,Rasuwa
"District Hospital, Bajhang",District Hospital,Public,Ministry of Health & Population,Mountain,Bajhang
"District Hospital, Bajura",District Hospital,Public,Ministry of Health & Population,Mountain,Bajura
"District Hospital, Darchula",District Hospital,Public,Ministry of Health & Population,Mountain,Darchaula
"District Hospital, Dolpa",District Hospital,Public,Ministry of Health & Population,Mountain,Dolpa
"District Hospital, Kalikot",District Hospital,Public,Ministry of Health & Population,Mountain,Kalikot
"District Hospital, Manang",District Hospital,Public,Ministry of Health & Population,Mountain,Manang
"District Hospital, Mugu",District Hospital,Public,Ministry of Health & Population,Mountain,Mugu
"District Hospital, Sankhuwasabha",District Hospital,Public,Ministry of Health & Population,Mountain,Sankhuwasabha
"District Hospital, Sindhupalchowk",District Hospital,Public,Ministry of Health & Population,Mountain,Sindhupalchok
"District Hospital, Solukhumbu",District Hospital,Public,Ministry of Health & Population,Mountain,Solukhumbu
"District Hospital, Taplejung",District Hospital,Public,Ministry of Health & Population,Mountain,Taplejung
Mustang District Hospital,District Hospital,Public,Ministry of Health & Population,Mountain,Mustang
"Simikot District Hospital, Humla",District Hospital,Public,Ministry of Health & Population,Mountain,Humla
"District Hospital, Bardiya",District Hospital,Public,Ministry of Health & Population,Terai,Bardiya
"District Hospital, Mahottari",District Hospital,Public,Ministry of Health & Population,Terai,Mahottari
"District Hospital, Sunsari",District Hospital,Public,Ministry of Health & Population,Terai,Sunsari
"Gaur Hospital, Rautahat",District Hospital,Public,Ministry of Health & Population,Terai,Rautahat
"Kalaiya District Hospital, Bara",District Hospital,Public,Ministry of Health & Population,Terai,Bara
"Malangawa District Hospital, Sarlahi",District Hospital,Public,Ministry of Health & Population,Terai,Sarlahi
"Prithiv Bir Hospital, Kapilbastu",District Hospital,Public,Ministry of Health & Population,Terai,Kapilbastu
"Prithiv Chandra Hospital, Nawalparasi",District Hospital,Public,Ministry of Health & Population,Terai,Nawalparasi
Armed Polish Force (APF) Hospital,General Hospital,Public,Ministry of Home Affairs,Hill,Kathmandu
Central Jail Hospital,General Hospital,Public,Ministry of Home Affairs,Hill,Kathmandu
Nepal Police Hospital,General Hospital,Public,Ministry of Home Affairs,Hill,Kathmandu
"Bandipur Hospital, Tanahu",General Hospital,Public,Ministry of Health & Population,Hill,Tanahu
Jogbuda Hospital,General Hospital,Public,Ministry of Health & Population,Hill,Dadeldhura
"Katari Hospital, Udaypur",General Hospital,Public,Ministry of Health & Population,Hill,Udayapur
Lamjung Community Hospital,General Hospital,Public,Ministry of Health & Population,Hill,Lamjung
Mehelkuna Hospital,General Hospital,Public,Ministry of Health & Population,Hill,Surkhet
Methinkot Hospital,General Hospital,Public,Ministry of Health & Population,Hill,Kavre
Rampur Hospital,General Hospital,Public,Ministry of Health & Population,Hill,Palpa
Civil Services Hospital,General Hospital,Public,Ministry of General Administration,Hill,Kathmandu
Birendra Military Hospital,General Hospital,Public,Ministry of Defence,Hill,Kathmandu
"Jiri District Hospital, Dolakha",General Hospital,Public,Ministry of Health & Population,Mountain,Dolakha
"Bahadurganj Hospital, Kapilbastu",General Hospital,Public,Ministry of Health & Population,Terai,Kapilbastu
Bakulahar Hospital,General Hospital,Public,Ministry of Health & Population,Terai,Chitawan
"Bardibas Hospital, Mahottari",General Hospital,Public,Ministry of Health & Population,Terai,Mahottari
"Bharatpur Hospital, Chitwan",General Hospital,Public,Ministry of Health & Population,Terai,Chitawan
"Bhim Hospital, Rupandehi",General Hospital,Public,Ministry of Health & Population,Terai,Rupandehi
"Lahan Hospial, Siraha",General Hospital,Public,Ministry of Health & Population,Terai,Siraha
Pokhariya Hospital,General Hospital,Public,Ministry of Health & Population,Terai,Parsa
"Rangeli Hospital, Morang",General Hospital,Public,Ministry of Health & Population,Terai,Morang
"Tikapur Hospital, Kailali",General Hospital,Public,Ministry of Health & Population,Terai,Kailali
Army Hospital Nepalgunj,General Hospital,Public,Ministry of Defence,Terai,Banke
Aaglung HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Aalapot HP,Health Post,Public,Ministry of Health & Population,Hill,Kathmandu
Aampipal HP,Health Post,Public,Ministry of Health & Population,Hill,Gorkha
Aamtek HP,Health Post,Public,Ministry of Health & Population,Hill,Bhojpur
Aangna HP,Health Post,Public,Ministry of Health & Population,Hill,Panchthar
Aangsarang HP,Health Post,Public,Ministry of Health & Population,Hill,Panchthar
Aaptar HP,Health Post,Public,Ministry of Health & Population,Hill,Udayapur
Aaruarbang HP,Health Post,Public,Ministry of Health & Population,Hill,Gorkha
Aarubote HP,Health Post,Public,Ministry of Health & Population,Hill,Panchthar
Aaruchaur HP,Health Post,Public,Ministry of Health & Population,Hill,Syangja
Aarupokhari HP,Health Post,Public,Ministry of Health & Population,Hill,Gorkha
Aathbisdanda HP,Health Post,Public,Ministry of Health & Population,Hill,Rukum
Aathbiskot HP,Health Post,Public,Ministry of Health & Population,Hill,Rukum
Adguri HP,Health Post,Public,Ministry of Health & Population,Hill,Arghakhanchi
Adhikarichaur HP,Health Post,Public,Ministry of Health & Population,Hill,Baglung
Agara HP,Health Post,Public,Ministry of Health & Population,Hill,Makwanpur
Aginchok HP,Health Post,Public,Ministry of Health & Population,Hill,Dhading
Agragaun HP,Health Post,Public,Ministry of Health & Population,Hill,Surkhet
Ahale HP,Health Post,Public,Ministry of Health & Population,Hill,Dhankuta
Ajameru HP,Health Post,Public,Ministry of Health & Population,Hill,Dadeldhura
Alamadevi HP,Health Post,Public,Ministry of Health & Population,Hill,Syangja
Alital HP,Health Post,Public,Ministry of Health & Population,Hill,Dadeldhura
Amalachaur HP,Health Post,Public,Ministry of Health & Population,Hill,Baglung
Amale HP,Health Post,Public,Ministry of Health & Population,Hill,Sindhuli
Amararbathok HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Amarbhumi HP,Health Post,Public,Ministry of Health & Population,Hill,Baglung
Amarpur HP,Health Post,Public,Ministry of Health & Population,Hill,Panchthar
Amarpur HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Amarpur HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Amarpur HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Ambhanjyang HP,Health Post,Public,Ministry of Health & Population,Hill,Makwanpur
Ambung HP,Health Post,Public,Ministry of Health & Population,Hill,Terhathum
Amchaur HP,Health Post,Public,Ministry of Health & Population,Hill,Baitadi
Amchowk HP,Health Post,Public,Ministry of Health & Population,Hill,Ilam
Anaikot HP,Health Post,Public,Ministry of Health & Population,Hill,Kavre
Anbukhaireni HP,Health Post,Public,Ministry of Health & Population,Hill,Tanahu
Angdeem HP,Health Post,Public,Ministry of Health & Population,Hill,Terhathum
Ankhisalla HP,Health Post,Public,Ministry of Health & Population,Hill,Dhankuta
Apchaur HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Arbavijaya HP,Health Post,Public,Ministry of Health & Population,Hill,Kaski
Arbenee HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Archalbot HP,Health Post,Public,Ministry of Health & Population,Hill,Lamjung
Archale HP,Health Post,Public,Ministry of Health & Population,Hill,Palpa
Archhani HP,Health Post,Public,Ministry of Health & Population,Hill,Jajarkot
Aresh HP,Health Post,Public,Ministry of Health & Population,Hill,Rolpa
Argal HP,Health Post,Public,Ministry of Health & Population,Hill,Baglung
Argali HP,Health Post,Public,Ministry of Health & Population,Hill,Palpa
Argha HP,Health Post,Public,Ministry of Health & Population,Hill,Arghakhanchi
Arghatosh HP,Health Post,Public,Ministry of Health & Population,Hill,Arghakhanchi
Arjee HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Arjewa HP,Health Post,Public,Ministry of Health & Population,Hill,Baglung
Arjungchaupari HP,Health Post,Public,Ministry of Health & Population,Hill,Syangja
Arkha HP,Health Post,Public,Ministry of Health & Population,Hill,Pyuthan
Arkhale HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Arkhaule HP,Health Post,Public,Ministry of Health & Population,Hill,Khotang
Arkhawang HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Arlangkot HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Arma HP,Health Post,Public,Ministry of Health & Population,Hill,Rukum
Armala HP,Health Post,Public,Ministry of Health & Population,Hill,Kaski
Arman HP,Health Post,Public,Ministry of Health & Population,Hill,Myagdi
Arthar Dandakharka HP,Health Post,Public,Ministry of Health & Population,Hill,Parbat
Arukharka HP,Health Post,Public,Ministry of Health & Population,Hill,Syangja
Arunodaya HP,Health Post,Public,Ministry of Health & Population,Hill,Tanahu
Arunthakur HP,Health Post,Public,Ministry of Health & Population,Hill,Sindhuli
Ashigram HP,Health Post,Public,Ministry of Health & Population,Hill,Dadeldhura
Ashrang HP,Health Post,Public,Ministry of Health & Population,Hill,Lalitpur
Aslewa HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Asrang HP,Health Post,Public,Ministry of Health & Population,Hill,Gorkha
Asurkot HP,Health Post,Public,Ministry of Health & Population,Hill,Arghakhanchi
Atharasaya HP,Health Post,Public,Ministry of Health & Population,Hill,Dhankuta
Awalparajul HP,Health Post,Public,Ministry of Health & Population,Hill,Dailekh
Baadbhanjyang HP,Health Post,Public,Ministry of Health & Population,Hill,Kathmandu
